Local Date and Time,Participant Public ID,Participant Private ID,randomiser-wqo5,Trial Number,Response,Onset Time,Object Name,Object Number,Spreadsheet: Trial#,Spreadsheet: Audio
17/02/2026 17:00:31,3sq66wle,15178530,Version1-raw,36,o.png,2660.6000000001804,O,2,67,[MONO] ASI_bleno_analyzable.mp3
17/02/2026 17:00:33,3sq66wle,15178530,Version1-raw,37,audio started,1522.0000000000873,Audio Clip,2,11,[MONO] ASI146_cocinera_alt_analyzable_v_raw.mp3
17/02/2026 17:00:34,3sq66wle,15178530,Version1-raw,37,a.png,2925.6000000001804,A,1,11,[MONO] ASI146_cocinera_alt_analyzable_v_raw.mp3
17/02/2026 17:00:36,3sq66wle,15178530,Version1-raw,38,audio started,1519.9000000000815,Audio Clip,2,10,[MONO] HSS145_nina_alt_analyzable_v_raw.mp3
17/02/2026 17:00:37,3sq66wle,15178530,Version1-raw,38,a.png,2477.199999999895,A,1,10,[MONO] HSS145_nina_alt_analyzable_v_raw.mp3
17/02/2026 17:00:38,3sq66wle,15178530,Version1-raw,39,audio started,1520.200000000099,Audio Clip,2,83,[MONO] HSS_bleno_unanalyzable3.mp3
17/02/2026 17:00:39,3sq66wle,15178530,Version1-raw,39,o.png,2377.700000000099,O,2,83,[MONO] HSS_bleno_unanalyzable3.mp3
17/02/2026 17:00:40,3sq66wle,15178530,Version1-raw,40,audio started,1520.1999999998952,Audio Clip,2,54,[MONO] HSS145_vaso_nonalt_unanalyzable_v-less_raw.mp3
17/02/2026 17:00:41,3sq66wle,15178530,Version1-raw,40,o.png,2346.199999999895,O,2,54,[MONO] HSS145_vaso_nonalt_unanalyzable_v-less_raw.mp3
17/02/2026 17:00:43,3sq66wle,15178530,Version1-raw,41,audio started,1522.7999999999884,Audio Clip,2,68,[MONO] ASI_crolo_analyzable.mp3
17/02/2026 17:00:44,3sq66wle,15178530,Version1-raw,41,o.png,2781.6000000002678,O,2,68,[MONO] ASI_crolo_analyzable.mp3
17/02/2026 17:00:46,3sq66wle,15178530,Version1-raw,42,audio started,1502.8000000002794,Audio Clip,2,31,[MONO] ASI142_puerta_alt_unanalyzable_v-less_raw.mp3
17/02/2026 17:00:47,3sq66wle,15178530,Version1-raw,42,a.png,2616.7000000000116,A,1,31,[MONO] ASI142_puerta_alt_unanalyzable_v-less_raw.mp3
17/02/2026 17:00:48,3sq66wle,15178530,Version1-raw,43,audio started,1520.2000000002736,Audio Clip,2,7,[MONO] ASI132_gato_alt_analyzable_v-less_raw.mp3
17/02/2026 17:00:49,3sq66wle,15178530,Version1-raw,43,o.png,2088.399999999994,O,2,7,[MONO] ASI132_gato_alt_analyzable_v-less_raw.mp3
17/02/2026 17:00:50,3sq66wle,15178530,Version1-raw,44,audio started,1519.0000000001746,Audio Clip,2,74,[MONO] HSS_noga_analyzable.mp3
17/02/2026 17:00:52,3sq66wle,15178530,Version1-raw,44,a.png,3117.5000000001746,A,1,74,[MONO] HSS_noga_analyzable.mp3
17/02/2026 17:00:53,3sq66wle,15178530,Version1-raw,45,audio started,1519.9000000002852,Audio Clip,2,56,[MONO] ASI146_gancho_nonalt_unanalyzable_v-less_raw.mp3
17/02/2026 17:00:54,3sq66wle,15178530,Version1-raw,45,o.png,2337.400000000285,O,2,56,[MONO] ASI146_gancho_nonalt_unanalyzable_v-less_raw.mp3
17/02/2026 17:00:56,3sq66wle,15178530,Version1-raw,46,audio started,1524.0999999999185,Audio Clip,2,61,[MONO] HSS143_mariposa_nonalt_unanalyzable_v-less_raw.mp3
17/02/2026 17:00:56,3sq66wle,15178530,Version1-raw,46,a.png,2316.899999999994,A,1,61,[MONO] HSS143_mariposa_nonalt_unanalyzable_v-less_raw.mp3
17/02/2026 17:00:58,3sq66wle,15178530,Version1-raw,47,audio started,1519.6000000000058,Audio Clip,2,24,[MONO] ASI128_peso_alt_unanalyzable_v-less_raw.mp3
